date,open,high,low,close,volume,adjclose
1688131800,236.27000427246094,238.27999877929688,235.9499969482422,237.47999572753906,6879100,237.47999572753906
1688045400,228.7899932861328,234.6999969482422,228.60000610351562,234.32000732421875,7118900,234.32000732421875
1687959000,227.5,228.05999755859375,226.02000427246094,227.9600067138672,5324500,227.9600067138672
1687872600,227.47999572753906,228.61000061035156,226.52000427246094,227.33999633789062,4628500,227.33999633789062
1687786200,229.44000244140625,230.10000610351562,226.1999969482422,226.3000030517578,5165400,226.3000030517578
1687527000,227.22000122070312,229.97999572753906,226.38999938964844,229.5500030517578,5422500,229.5500030517578
1687440600,226.36000061035156,228.92999267578125,225.5,228.38999938964844,6275500,228.38999938964844
1687354200,226.1199951171875,228.6300048828125,224.97999572753906,227.25,7032100,227.25
1687267800,227,229.57000732421875,226.17999267578125,226.47000122070312,12312300,226.47000122070312
1686922200,226.4499969482422,229.8000030517578,226.0800018310547,228.91000366210938,13628500,228.91000366210938
1686835800,222.02000427246094,227.11000061035156,221.3699951171875,226.1699981689453,12534000,226.1699981689453
1686749400,223.74000549316406,225.47000122070312,222.5800018310547,223.44000244140625,9160700,223.44000244140625
1686663000,225.6199951171875,227.14999389648438,222.6300048828125,223.39999389648438,6868700,223.39999389648438
1686576600,224.41000366210938,226.4499969482422,223.6300048828125,226.1699981689453,8621100,226.1699981689453
1686317400,223.63999938964844,225.17999267578125,222.75999450683594,223.55999755859375,6385000,223.55999755859375
1686231000,225.08999633789062,225.13999938964844,222.41000366210938,223.0500030517578,6248200,223.0500030517578
1686144600,227,227.5500030517578,221.02000427246094,225.27000427246094,8517200,225.27000427246094
1686058200,226.69000244140625,229.25,226.16000366210938,228.22000122070312,6020100,228.22000122070312
1685971800,227.91000366210938,228.3300018310547,225.30999755859375,226.77000427246094,4858900,226.77000427246094
1685712600,228.80999755859375,230.27000427246094,227.4199981689453,228.7899932861328,5895500,228.7899932861328
1685626200,222.72999572753906,226.7100067138672,222.42999267578125,226.5,7003600,226.5
1685539800,219.9600067138672,221.52999877929688,216.13999938964844,221.02999877929688,20460600,221.02999877929688
1685453400,225.00999450683594,225.47000122070312,219.75,221.63999938964844,6916000,221.63999938964844
1685107800,223.82000732421875,226.2100067138672,223.33999633789062,225.00999450683594,5067300,225.00999450683594
1685021400,222.4499969482422,224.69000244140625,220.49000549316406,223.3800048828125,6827600,223.3800048828125
1684935000,222.5500030517578,223.10000610351562,220.02999877929688,222.25,6730800,222.25
1684848600,229.27000427246094,229.49000549316406,223.66000366210938,224.5800018310547,8537200,224.5800018310547
1684762200,233.30999755859375,233.8699951171875,231.17999267578125,231.27999877929688,3987800,231.27999877929688
1684503000,234,234.33999633789062,231.94000244140625,233.30999755859375,5399100,233.30999755859375
1684416600,232.39999389648438,234.14999389648438,231.1300048828125,233.60000610351562,6621900,233.60000610351562
1684330200,232.72999572753906,233.88999938964844,230.5500030517578,232.64999389648438,4990100,232.64999389648438
1684243800,232.55999755859375,233.10000610351562,229.6300048828125,230.47000122070312,4289700,230.47000122070312
1684157400,231.19000244140625,232.8300018310547,230.5500030517578,232.80999755859375,2843200,232.80999755859375
1683898200,232,232.72999572753906,229.82000732421875,231.3800048828125,3430300,231.3800048828125
1683811800,230.75,231.52000427246094,228.27000427246094,231.00999450683594,3818000,231.00999450683594
1683811800,,,,,,
1683725400,234.3000030517578,234.80999755859375,228.89999389648438,231.27000427246094,5245000,230.82000732421875
1683639000,231.0800018310547,234.08999633789062,230.82000732421875,233.25999450683594,4352100,232.80612182617188
1683552600,231.25,233.4499969482422,231.25,232.22999572753906,2938400,231.7781219482422
1683293400,228.33999633789062,232.33999633789062,227.2899932861328,231.77999877929688,6237000,231.32901000976562
1683207000,224.83999633789062,226.05999755859375,223.47999572753906,225.60000610351562,5648700,225.16104125976562
1683120600,226.97999572753906,228.6699981689453,225.9199981689453,225.97999572753906,4093300,225.540283203125
1683034200,231.9499969482422,232.3699951171875,226.2100067138672,226.97999572753906,5244000,226.53834533691406
1682947800,232.8699951171875,234.58999633789062,231.50999450683594,232.50999450683594,4571100,232.0575714111328
1682688600,228.64999389648438,233.57000732421875,228.05999755859375,232.72999572753906,11627900,232.2771453857422
1682602200,228.6699981689453,229.6300048828125,226.61000061035156,229.00999450683594,7128200,228.56439208984375
1682515800,231.22000122070312,232.77000427246094,226.72000122070312,228.14999389648438,8400400,227.7060546875
1682429400,233.02000427246094,235.02000427246094,229.42999267578125,229.58999633789062,6076500,229.1432647705078
1682343000,234.22999572753906,235.14999389648438,231.50999450683594,232.75999450683594,9124100,232.30709838867188
1682083800,235,235.57000732421875,233.3800048828125,234.0500030517578,6771500,233.59458923339844
1681997400,232.4600067138672,234.6699981689453,231.5,234.60000610351562,4925700,234.14352416992188
1681911000,234,234.05999755859375,231.85000610351562,232.57000732421875,3833900,232.1174774169922
1681824600,233.75,234.3300018310547,231.69000244140625,233.60000610351562,4796200,233.1454620361328
1681738200,234.02000427246094,234.0500030517578,230.94000244140625,233.47999572753906,4865000,233.02569580078125
1681479000,232.99000549316406,234.99000549316406,232.24000549316406,234.02000427246094,9781300,233.5646514892578
1681392600,229.4600067138672,232.83999633789062,228.8000030517578,232.69000244140625,7615500,232.2372283935547
1681306200,229.92999267578125,231.58999633789062,227.3300018310547,227.80999755859375,4373000,227.36672973632812
1681219800,227,229.13999938964844,226.1999969482422,228.4499969482422,4513300,228.00547790527344
1681133400,225.55999755859375,226.47999572753906,224.32000732421875,226.42999267578125,4952200,225.98941040039062
1680787800,226.16000366210938,226.72999572753906,224.67999267578125,225.99000549316406,4285200,225.55027770996094
1680701400,226.77999877929688,228.47000122070312,226.5500030517578,228.1699981689453,4813600,227.7260284423828
